"Date","Rev"
"on September 13, 2015","Just when I thought I couldn't love Spotify any more, they come out with the brilliance of Connect. Now I can be in my backyard any day of the week, controlling my Desktop playlist through the speakers in my backyard via my phone. Genius. Couldn't love it more."
"on May 15, 2017","Great App. Highly Recommend!!"
"on June 11, 2017","Hvbbnn"
"on November 29, 2015","Spotify is my absolute favourite app, it is just perfect. I believe that there may be a little bit too many commercials but it makes up for it in letting everyone free music to listen to. Overall an amazing app, would recommend it to anyone."
"on September 16, 2015","While I love the music. Making a payment is a nightmare. Once again I am unable to access the system to enter my information. Last time this ended up in double billing for approx. 9 months. So frustrated. No way to contact the &#34;Spotify people&#34;"
"on September 21, 2017","I enjoy being able to pick an artist, and listen to his music. Or I can choose a stars station and listen to the variety of artists on that station."
"on September 20, 2014","I 'M VERY HAPPY YOU MADE A WONDERFUL APP SPOTIFY MUSIC, (ARTIST OF MUSIC TO ME). I WAS VERY IMPRESSED THAT EVERY ARTIST I REMEMBER YOU HAVE. IT'S ALRIGHT YOU HAVE 1TO 2 ADS SINCE YOU DON'T CLIP THE MUSIC. YOU CAN HEAR A LOT SONGS OF SAME ARTIST AT ONCE OR SHUFFLE THE ARTIST OR MUSIC. I HOPE THIS APP NEVER CHANGES HOW GOOD IT IS!!!!!!!!!"
"on December 7, 2016","Love all music for each and every thing you do during the morning, on your way to work, driving home from work, at night, late night, working out, etc."
"on March 12, 2017","TOTALLY WORTH IT! 5 STARS 4 SURE! I 💗 THIS APP! U SHOULD GET IT! *****"
"on February 22, 2015","Spotify has it all! Do you feel like memory lane, your favorite songs are there for you. Feel like dancing you can make party with your downloads. Got blues well this app has that too. I've been listening for hours on end everyday since getting this app. If you love music, all music you have to get this app."
"on March 3, 2017","TABEL"
"on August 23, 2017","Haven't used it in a while."
"on December 16, 2016","Absolutley love spotify. Some songs arent on here but for the most part they are! Great radio stations to, love it better than pandora cuz no adds!!"
"on December 12, 2016","What's not to like? Find old favourites, scope out something new and be surprised by something different. It's just a brilliant way to explore music!"
"on May 11, 2017","Very good app! I like that I can use my kindle to control the spotify app on the PS4 so I can play music on my stereo."
"on June 9, 2017","Free and amazing cause you can download music and then you don't need Wi-Fi to play music."
"on September 26, 2015","I can't seem to listen to the songs or play them at will. On top of that you are forced to hear commercial s . You can't listen to the song you want to listen to immediately, you have to wait for it to go through a shuffle and wait for your song. Not happy"
"on July 11, 2016","amazing I use it almost everyday wide variety of songs"
"on July 2, 2016","Has all of the new and hot songs, only con is it doesn't have some older songs. And you have to get premium for it to be good. Otherwise great. You can make your own playlist. Recommended."
"on June 1, 2015","I love this app. I'm addicted to music and spotify is the best pusherman so far. As a musician I'm not so sure yet. Not everything is on here. And some stuff gets taken off sometimes for whatever reason. But out of all the music download/stream apps out there this is BY FAR THE BEST."
"on July 19, 2017","I don't think there is a better music streaming service out there. Love the integration with Sonos. Good integration with Alexa too."
"on June 15, 2017","I love Spotify the only thing I don't like is the commercials but who likes commercials when all you are trying to do is jam out!?!?"
